Начало простоя,Конец простоя,Reason 3 (ID),Reason 3 (ENG),Описание,Длительность,Название детали
2021-06-04 20:20:07,2021-06-04 20:23:11,2010004.0,Breakdowns,МЕХ. Недолив №70. Замена углекислотного дросселя.,3,Углекислотный дроссель - №70
2021-06-06 20:27:29,2021-06-06 20:39:55,2010004.0,Breakdowns,МЕХ. Замена тормозных пластин 21/22.,12,"Тормозные пластины - №21, 22"
2021-06-06 20:42:18,2021-06-06 20:45:41,2010004.0,Breakdowns,МЕХ. Замена тормозной пластины. № 70.,3,Тормозная пластина - №70
2021-06-06 20:51:59,2021-06-06 20:55:40,2010004.0,Breakdowns,МЕХ. Замена нагнетания углекислотного дросселя. 53,4,Углекислотный дроссель нагнетания - №53
2021-06-10 02:50:42,2021-06-10 02:53:48,2010004.0,Breakdowns,Мех.Замена дросселя СО2 на 70 наполнителе.,3,Дроссель CO2 - №70
2021-06-10 06:46:13,2021-06-10 06:48:40,2010004.0,Breakdowns,Мех.замена тормозной пластины на 19 наполнителе.,2,Тормозная пластина - №19
2021-06-11 09:49:24,2021-06-11 09:51:52,2010004.0,Breakdowns,Замена тормозной пластины №26.,2,Тормозная пластина - №26
2021-06-14 10:46:14,2021-06-14 10:49:39,2010004.0,Breakdowns,МЕХ.Замена дросселя СО2 на 51 наполнителе.,3,Дроссель CO2 - №51
2021-06-14 10:50:28,2021-06-14 10:52:42,2010004.0,Breakdowns,Мех.Замена ддросселя СО2 на 90 наполнителе.,2,Дроссель CO2 - №90
2021-06-15 19:24:49,2021-06-15 19:34:31,2010004.0,Breakdowns,замена дросселя 95,10,Дроссель - №95
2021-06-15 19:34:31,2021-06-15 19:43:12,2010004.0,Breakdowns,замена толкателя дросселя 92,9,Толкатель дросселя - №92
2021-06-16 06:52:41,2021-06-16 06:55:51,2010004.0,Breakdowns,"МЕХ, замена верхнего дросселя 60",3,Верхний дроссель - №60
2021-06-18 08:08:34,2021-06-18 08:12:25,2010004.0,Breakdowns,Замена дроссиля наполнитель №94,4,Дроссель - №94
2021-06-19 18:38:31,2021-06-19 18:42:56,2010004.0,Breakdowns,МЕХ. Недолив 72/82. Замена тормозной пластины.,4,"Тормозная пластина - №72, 82"
2021-06-22 04:51:26,2021-06-22 04:54:30,2010004.0,Breakdowns,Сломался толкатель дроссиля (замена),3,Толкатель дросселя -
2021-06-23 07:27:37,2021-06-23 07:34:33,2010004.0,Breakdowns,"МЕХ, КИП. Сбой пластичной смазки.",7,-
2021-06-24 04:52:08,2021-06-24 04:54:29,2010004.0,Breakdowns,"МЕХ,№43 Замена тормозной пластины.",2,Тормозная пластина - №43
2021-06-24 05:11:27,2021-06-24 05:17:16,2010004.0,Breakdowns,МЕХ. Замена уплотнительной резины в прижимном стакане.,6,Уплотнительная резина в прижимном стакане -
2021-06-24 05:50:41,2021-06-24 05:53:55,2010004.0,Breakdowns,МЕХ. КИП. Сбой толкателя пластичной смазки.,3,-
2021-06-25 18:51:33,2021-06-25 18:57:07,2010004.0,Breakdowns,Замена верхнего толкателя дроссиля №6,6,Верхний толкатель дросселя - №6
2021-07-01 04:38:38,2021-07-01 04:43:28,2010004.0,Breakdowns,КИП.МЕХ. Сбой пластичной смазки.,5,-
2021-07-01 05:41:50,2021-07-01 05:48:36,2010004.0,Breakdowns,КИП.МЕХ. Сбой пластичной смазки.,7,-
2021-07-08 04:37:44,2021-07-08 04:42:59,2010004.0,Breakdowns,"Замена тормозной пластины на 35 наполнители,(устронение недоливов)",5,Тормозная пластина - №35
2021-07-10 03:01:46,2021-07-10 03:07:42,2010004.0,Breakdowns,КИП.МЕХ. Сбой пластичной смазки.,6,-
2021-07-10 04:20:37,2021-07-10 04:53:44,2010004.0,Breakdowns,МЕХ. Замена редуктора передающего вращение на шнек и подводящего тр-ра.,33,Редуктор -
2021-07-10 08:56:29,2021-07-10 09:00:33,2010004.0,Breakdowns,33 верхний дроссель,4,Верхний дроссель - №33
2021-07-19 10:40:46,2021-07-19 10:43:36,2010004.0,Breakdowns,Замена дросиля №99,3,Дроссель - №99
2021-07-20 16:44:22,2021-07-20 16:47:23,2010004.0,Breakdowns,Замена дроселя №96,3,Дроссель - №96
2021-07-22 01:21:37,2021-07-22 01:46:03,2010004.0,Breakdowns,забился масляный фильтр замена,24,Масляный фильтр -
2021-07-30 20:16:24,2021-07-30 20:21:22,2010004.0,Breakdowns,Замена дроселя №97,5,Дроссель - №97
2021-07-31 11:41:21,2021-07-31 11:44:30,2010004.0,Breakdowns,устранение недоливов на 19 и 70 наполтителях.,3,-
2021-07-31 11:53:06,2021-07-31 11:55:53,2010004.0,Breakdowns,устранение недоливов на 19 и 70 наполтителях.,3,-
2021-07-31 12:20:04,2021-07-31 12:25:32,2010004.0,Breakdowns,устранение недоливов на 19 и 70 наполтителях.,5,-
2021-08-08 23:27:23,2021-08-08 23:32:47,2010004.0,Breakdowns,Замена тормозной пластинф и феродо кран 7,5,Тормозная пластина и феродо - Кран №7
2021-08-15 13:19:54,2021-08-15 13:23:17,2010004.0,Breakdowns,Замена тормозной пластины. №19.,3,Тормозная пластина - №19
2021-08-17 03:15:39,2021-08-17 03:20:31,2010004.0,Breakdowns,Замена дроселя №86,5,Дроссель - №86
2021-08-17 20:20:20,2021-08-17 20:27:03,2010004.0,Breakdowns,"МЕХ,№22 замена тормозной пластины. Не закрывался кран.",7,Тормозная пластина - №22
2021-08-21 16:26:19,2021-08-21 16:30:06,2010004.0,Breakdowns,Замена верхнего дроселя №105,4,Верхний дроссель - №105
2021-08-22 09:49:36,2021-08-22 09:52:28,2010004.0,Breakdowns,устраненте недолива №3. Замена тормозной пластины.,3,Тормозная пластина - №3
2021-08-22 10:14:09,2021-08-22 10:17:41,2010004.0,Breakdowns,Замена уплотнение прижимного стакана. №55.,4,Уплотнение прижимного стакана - №55
2021-08-22 19:30:14,2021-08-22 19:35:45,2010004.0,Breakdowns,МЕХ. №75 Устр. недолива.,6,-
2021-08-22 21:04:10,2021-08-22 21:12:12,2010004.0,Breakdowns,замена наполнителя 98,8,Наполнитель - №98
2021-08-23 05:03:31,2021-08-23 05:07:06,2010004.0,Breakdowns,замена 2х дросселей 3 наполнитель,4,Дроссели - №3
2021-08-23 06:34:28,2021-08-23 06:38:36,2010004.0,Breakdowns,замена двух дросселей 4 наполнитель,4,Дроссели - №4
2021-08-23 16:27:33,2021-08-23 16:31:49,2010004.0,Breakdowns,МЕХ. Замена тормозной пластины. Не закравется кран на средней скорости.,4,Тормозная пластина -
2021-08-27 16:34:44,2021-08-27 16:39:28,2010004.0,Breakdowns,заменна тормозной пластины 43,5,Тормозная пластина - №43
2021-08-27 16:46:28,2021-08-27 16:49:17,2010004.0,Breakdowns,замена дросселя 43,3,Дроссель - №43
2021-08-27 16:55:59,2021-08-27 17:01:16,2010004.0,Breakdowns,замена нижний дроссель 43,5,Нижний дроссель - №43
2021-09-04 12:45:50,2021-09-04 12:48:39,2010004.0,Breakdowns,замена дросселя 32,3,Дроссель - №32
2021-09-06 21:30:52,2021-09-06 21:36:08,2010004.0,Breakdowns,Замена двух дросселей № 39,5,Дроссели - №39
2021-09-07 06:52:20,2021-09-07 06:55:15,2010004.0,Breakdowns,Замена двух дросселей № 26,3,Дроссели - №26
2021-09-07 07:20:28,2021-09-07 07:24:40,2010004.0,Breakdowns,Замена прижимного стакана №39,4,Прижимной стакан - №39
2021-09-08 08:57:45,2021-09-08 09:06:03,2010004.0,Breakdowns,Замена дросселей на 39 наполнителе.,8,Дроссели - №39
2021-09-08 09:07:30,2021-09-08 09:09:48,2010004.0,Breakdowns,Замена тормозной пластины 39 наполнитель.,2,Тормозная пластина - №39
2021-09-15 00:39:02,2021-09-15 00:47:34,2010004.0,Breakdowns,Замена прижимного цилиндра №67,9,Прижимной цилиндр - №67
2021-09-15 00:48:53,2021-09-15 00:51:48,2010004.0,Breakdowns,Замена двух дросселей №67,3,Дроссели - №67
2021-09-15 00:54:27,2021-09-15 01:12:16,2010004.0,Breakdowns,Замена наполнителя №67,18,Наполнитель - №67
2021-09-16 15:08:02,2021-09-16 15:13:44,2010004.0,Breakdowns,"МЕХ, Устранение недоливов. 84/46",6,-
2021-09-22 23:06:37,2021-09-22 23:15:04,2010004.0,Breakdowns,"Замена по два дросселя №№ 22, 58",8,"Дроссели - №22, 58"
2021-09-28 08:17:29,2021-09-28 08:20:27,2010004.0,Breakdowns,замена дросселя 81 верхний,3,Верхний дроссель - №81
2021-09-28 09:00:25,2021-09-28 09:03:56,2010004.0,Breakdowns,замена нижний дроссель 81,4,Нижний дроссель - №81
2021-09-28 09:19:50,2021-09-28 09:23:40,2010004.0,Breakdowns,замена тормозной пластины 81,4,Тормозная пластина - №81
2021-09-28 09:42:42,2021-09-28 09:46:26,2010004.0,Breakdowns,замена колокола в сборе 81,4,Колокол в сборе - №81
2021-09-28 09:56:22,2021-09-28 10:08:04,2010004.0,Breakdowns,замена наполнителя 81,12,Наполнитель - №81
2021-09-28 10:08:04,2021-09-28 10:18:15,2010004.0,Breakdowns,замена наполнителя 82,10,Наполнитель - №82
2021-10-07 22:44:19,2021-10-07 22:49:49,2010004.0,Breakdowns,мех. устранение недоливов на 49 наполнителе.замена пластины и дросселяСО2.,6,-
2021-10-08 03:35:45,2021-10-08 03:41:24,2010004.0,Breakdowns,мех.устранение недоливов на 49 наполнителе..замена тормозной пластины.,6,Тормозная пластина - №49
2021-10-08 14:55:28,2021-10-08 14:59:47,2010004.0,Breakdowns,замена дросселя №103,4,Дроссель - №103
