Начало простоя,Длительность,Название детали,Поломка
2021-02-06 01:59:40,0,Нет поломки,0
2021-02-07 01:59:40,0,Нет поломки,0
2021-02-08 12:12:56,3,Тормозная пластина - №43,1
2021-02-08 12:54:18,3,Сбросной дроссель - №43,1
2021-02-09 04:12:26,3,Дроссель CO2 - №5,1
2021-02-10 04:12:26,0,Нет поломки,0
2021-02-11 04:12:26,0,Нет поломки,0
2021-02-12 04:12:26,0,Нет поломки,0
2021-02-13 04:12:26,0,Нет поломки,0
2021-02-14 04:12:26,0,Нет поломки,0
2021-02-15 04:12:26,0,Нет поломки,0
2021-02-16 04:12:26,0,Нет поломки,0
2021-02-17 04:12:26,0,Нет поломки,0
2021-02-18 04:12:26,0,Нет поломки,0
2021-02-19 04:12:26,0,Нет поломки,0
2021-02-20 04:12:26,0,Нет поломки,0
2021-02-21 04:12:26,0,Нет поломки,0
2021-02-22 04:12:26,0,Нет поломки,0
2021-02-23 20:08:59,3,"Сбросные дроссели - №79, 38",1
2021-02-24 20:08:59,0,Нет поломки,0
2021-02-25 20:08:59,0,Нет поломки,0
2021-02-26 20:08:59,0,Нет поломки,0
2021-02-27 20:08:59,0,Нет поломки,0
2021-02-28 20:08:59,0,Нет поломки,0
2021-03-01 20:08:59,0,Нет поломки,0
2021-03-02 20:08:59,0,Нет поломки,0
2021-03-03 20:08:59,0,Нет поломки,0
2021-03-04 20:08:59,0,Нет поломки,0
2021-03-05 20:08:59,0,Нет поломки,0
2021-03-06 20:08:59,0,Нет поломки,0
2021-03-07 20:08:59,0,Нет поломки,0
2021-03-08 20:08:59,0,Нет поломки,0
2021-03-09 20:08:59,0,Нет поломки,0
2021-03-10 20:08:59,0,Нет поломки,0
2021-03-11 20:08:59,0,Нет поломки,0
2021-03-12 20:08:59,0,Нет поломки,0
2021-03-13 20:08:59,0,Нет поломки,0
2021-03-15 10:59:48,2,Углекислотный дроссель нагнетания - №57,1
2021-03-16 10:59:48,0,Нет поломки,0
2021-03-17 10:59:48,0,Нет поломки,0
2021-03-18 10:59:48,0,Нет поломки,0
2021-03-19 10:59:48,0,Нет поломки,0
2021-03-20 10:59:48,0,Нет поломки,0
2021-03-21 10:59:48,0,Нет поломки,0
2021-03-23 08:13:25,3,Углекислотный дроссель нагнетания - №51,1
2021-03-23 08:17:47,9,-,1
2021-03-23 17:18:14,5,Углекислотный дроссель нагнетания - №1,1
2021-03-24 17:18:14,0,Нет поломки,0
2021-03-25 17:18:14,0,Нет поломки,0
2021-03-26 17:18:14,0,Нет поломки,0
2021-03-27 17:18:14,0,Нет поломки,0
2021-03-28 17:18:14,0,Нет поломки,0
2021-03-29 17:18:14,0,Нет поломки,0
2021-03-30 17:18:14,0,Нет поломки,0
2021-03-31 17:18:14,0,Нет поломки,0
2021-04-01 17:18:14,0,Нет поломки,0
2021-04-02 17:18:14,0,Нет поломки,0
2021-04-03 17:18:14,0,Нет поломки,0
2021-04-04 17:18:14,0,Нет поломки,0
2021-04-06 02:31:59,2,Стакан - №66,1
2021-04-06 02:36:12,2,Стакан - №66,1
2021-04-07 02:36:12,0,Нет поломки,0
2021-04-08 14:06:36,6,"Тормозные пластины - №79, 16",1
2021-04-09 14:06:36,0,Нет поломки,0
2021-04-10 14:06:36,0,Нет поломки,0
2021-04-11 14:06:36,0,Нет поломки,0
2021-04-12 14:06:36,0,Нет поломки,0
2021-04-13 14:06:36,0,Нет поломки,0
2021-04-14 14:06:36,0,Нет поломки,0
2021-04-15 14:06:36,0,Нет поломки,0
2021-04-16 14:06:36,0,Нет поломки,0
2021-04-17 14:06:36,0,Нет поломки,0
2021-04-18 14:06:36,0,Нет поломки,0
2021-04-19 14:06:36,0,Нет поломки,0
2021-04-20 16:00:41,2,Нагнетательный дроссель - №42,1
2021-04-21 16:00:41,0,Нет поломки,0
2021-04-22 16:00:41,0,Нет поломки,0
2021-04-23 16:00:41,0,Нет поломки,0
2021-04-24 16:00:41,0,Нет поломки,0
2021-04-25 16:00:41,0,Нет поломки,0
2021-04-26 16:00:41,0,Нет поломки,0
2021-04-27 16:00:41,0,Нет поломки,0
2021-04-28 16:00:41,0,Нет поломки,0
2021-04-30 13:19:06,6,Дроссель - №11,1
2021-04-30 19:06:10,3,Дроссель - №03,1
2021-05-01 21:32:16,4,Тормозная пластина - №23,1
2021-05-02 21:32:16,0,Нет поломки,0
2021-05-03 21:32:16,0,Нет поломки,0
2021-05-04 21:32:16,0,Нет поломки,0
2021-05-05 21:32:16,0,Нет поломки,0
2021-05-07 12:34:07,9,"Дроссели - №43, 63",1
2021-05-08 12:34:07,0,Нет поломки,0
2021-05-09 12:34:07,0,Нет поломки,0
2021-05-11 06:34:59,3,Нагнетательный дроссель - №72,1
2021-05-12 06:34:59,0,Нет поломки,0
2021-05-13 06:34:59,0,Нет поломки,0
2021-05-14 09:45:17,4,Датчик закатки -,1
2021-05-14 11:49:19,58,Цепь -,1
2021-05-15 11:49:19,0,Нет поломки,0
2021-05-16 11:49:19,0,Нет поломки,0
2021-05-17 11:49:19,0,Нет поломки,0
2021-05-18 11:49:19,0,Нет поломки,0
2021-05-19 11:49:19,0,Нет поломки,0
2021-05-20 11:49:19,0,Нет поломки,0
2021-05-21 11:49:19,0,Нет поломки,0
2021-05-22 11:49:19,0,Нет поломки,0
2021-05-23 11:49:19,0,Нет поломки,0
2021-05-24 11:49:19,0,Нет поломки,0
2021-05-25 11:49:19,0,Нет поломки,0
2021-05-26 11:49:19,0,Нет поломки,0
2021-05-27 11:49:19,0,Нет поломки,0
2021-05-28 11:49:19,0,Нет поломки,0
2021-05-29 11:49:19,0,Нет поломки,0
2021-05-30 11:49:19,0,Нет поломки,0
2021-05-31 11:49:19,0,Нет поломки,0
2021-06-02 06:23:33,6,"Дроссели СО2 - №2, 100",1
2021-06-03 06:23:33,0,Нет поломки,0
2021-06-04 10:10:32,2,Углекислотный дроссель - №39,1
2021-06-04 10:27:47,3,-,1
2021-06-04 20:20:07,3,Углекислотный дроссель - №70,1
2021-06-05 20:20:07,0,Нет поломки,0
2021-06-06 20:27:29,12,"Тормозные пластины - №21, 22",1
2021-06-06 20:42:18,3,Тормозная пластина - №70,1
2021-06-06 20:51:59,4,Углекислотный дроссель нагнетания - №53,1
